jobtitle,company,city,state,industry,skilltag,Hadoop,Spark,R,SAS,Stata,Java,Perl,Python,SQL,NoSQL,Tableau,Excel,Machine Learning,Amazon Web Service
Software Engineer- Forward Deployed | AI Startup,HyperScience,New York,NY,11-50 people,"java, c++, python, distributed-computing",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior Software Engineer - We use Ruby to Sell Rubies!,Catawiki,Amsterdam,Netherlands,eCommerce,"ruby-on-rails, ruby",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior Java Developer - Spring,84.51å¡,Cincinnati,OH,"Consulting, Data Science, Retail Analytics","java, spring, spring-mvc, spring-boot, scrum",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior / Lead Data Engineer - Einstein,Salesforce,San Francisco,CA,"Cloud Services, Information Technology, Software Development","scala, apache-spark, apache-kafka, hadoop, cassandra",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Software Developer ‰ÛÒ Imaging,DuPont Pioneer,Johnston,IA,10k+ people,"python, linux, aws, computer-vision, image-processing",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Engineering Manager,  Python",iHeartRadio,New York,NY,Software Development / Engineering,"python, mongodb, cassandra, sql, nosql",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Lead Data Engineer,Wallaby Financial,Pasadena,CA,"Financial Technology, Mobile Application","java, redis, hibernate, postgresql, amazon-web-services",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Senior Data Engineer,EdgeRock Technology Partners,New York,NY,201-500 people,"r, amazon-web-services, hadoop, machine-learning, sql",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Web Developer,European Molecular Biology Laboratory (EMBL),Heidelberg,Germany,1k-5k people,"d3.js, python, web-services",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Scala Developer (m/f),Risk.Ident GmbH,Hamburg,Deutschland,"Big Data, Fraud, Machine Learning","jvm, scala, sbt, agile, sql",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
