jobtitle,company,city,state,industry,skilltag,Hadoop,Spark,R,SAS,Stata,Java,Perl,Python,SQL,NoSQL,Tableau,Excel,Machine Learning,Amazon Web Service
"Data Scientist / Machine Learning Engineer, Consumer Hardware Startup",Sense,Cambridge,MA,"Consumer Electronics, Energy & Environment, Internet of Things","python, time-series, machine-learning, c, c++",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Machine Learning Engineer (m/f),HelloFresh,Berlin,Germany,1k-5k people,"airflow, python, machine-learning, docker, apache-spark",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Senior Data Scientist,Bechtel Corporate,Houston,TX,"Construction, Civil Engineering, Project Management","deep-learning, machine-learning, python, sql, algorithm",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Software Engineer,Volant Trading,New York,NY,Capital Markets,"c, c++, python, shell, linux",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Software Engineer,TrackMaven,Washington,DC,"Content Marketing, Data & Analytics, Integrated Marketing Solutions","python, django, angularjs, docker, javascript",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Android Developer,FarmLogs,Ann Arbor,MI,51-200 people,"android, java, mobile",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Software Engineer (Big Data, Python, Full Stack)",University of Chicago | Center for Data Intensive Science,Chicago,IL,"Big Data, Biotechnology, Cloud Computing","python, postgresql, microservices, kubernetes, ubuntu",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Technical Product Owner - SUPERCRUNCH by GfK,Supercrunch by GfK,NÌ_rnberg,Deutschland,Market Research,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Scientists wanted!,Oliver Wyman Labs,Boston,MA,"Agile Software Development, Consulting, Machine Learning","machine-learning, r, sql, python, apache-spark",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Software Engineer,P2Binvestor,Denver,CO,NA,"ruby-on-rails, javascript, postgresql, amazon-web-services",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Management Practice Lead,Omni Resources,Milwaukee,WI,Information Technology,"hadoop, analytics",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Dev Ops Engineer,Alphonso Inc,Mountain View,CA,"Advertising Technology, Big Data, Embedded","linux, chef, puppet, docker",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Principal Software Engineer,TVision Insights,Boston,MA,11-50 people,"c++, python, amazon-web-services, windows, scala",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior Software Engineer,Domino Data Lab,San Francisco,CA,51-200 people,"scala, kubernetes, docker, reactjs, amazon-web-services",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Director of Engineering, Human Digital Interfaces",Mobiquity Inc.,Wayne,PA,"B2B, Digital Asset Management, Mobile","ios, android, iot, mobile, java",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Data Engineer,Qntfy,Arlington,VA,"Behavioral Analytics, Data & Analytics, Software Development / Engineering","go, docker, apache-kafka, mesos, grpc",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
